marca,nome,preco_antigo,centavos_antigo,preco_atual,centavos_atual,avaliacao,quantidade_avaliacoes
,Tênis Masculino Esporte Academia Caminhada Confortável Leve,106,21,10,32,4.4,(30)
ASCENSION,Tênis Para Treino Academia Caminhada Corrida Crossfit Sport,169,90,152,91,,
RAINHA,Tênis Chuteira Futsal Futebol Salão Corrida Academia Macio,109,70,99,82,4.4,(411)
,Tenis Masculino Feminino Confortavel Esportivo Academia,79,90,67,11,5.0,(1)
DM DAMANDO,Combo 2 Tênis Crossfit Masculino Caminhada Academia +relógio,149,90,37,48,4.8,(16)
BAD FISH,Tênis Track Sapatilha Bad Fish Adventure Pesca Rosa Preto ,204,99,19,93,4.9,(114)
HEADER,Tênis Masculino Header Easy Sapatênis Casual Confortável,54,99,39,59,4.4,(43)
,Tênis Chuky Linha 08 Eco Nylon Espumado Marca Ranclafe,159,90,31,98,,
NEW SPEED,Tênis New Speed Bege Esporte Masculino Original Lançamento,199,90,179,91,5.0,(1)
DM DAMANDO,Combo 2 Pares Tenis Masculino Treino Academia Corrida + Rel,149,90,37,48,4.5,(133)
,Kit Tênis On Masculino  Corrida Amortecimento Macio + Óculos,78,99,7,68,5.0,(1)
POLO JOY,Combo 2 Pares Tenis Masculino Polo Joy Casual Slip On Iate,242,71,155,80,,
OLYMPIKUS,Olympikus Jogging 100 Masculino Adultos,229,78,187,25,4.7,(279)
IDEN,Kit Tênis Masculino Academia Treino + Chinelo Conforto Top,149,90,134,91,,
NEW SPEED,Tênis New Speed Esporte Masculino 100% Original Caminhada,189,90,31,65,,
OLYMPIKUS,Olympikus CORRIDA Veloz 2 Masculino Adultos,208,,34,,4.8,(338)
ASCENSION,Tenis Masculino E Feminino De Caminhada Ortopedico Crossfit,78,42,69,14,4.7,(3561)
OLDSEN,Kit 3 Tenis Masculino Casual Esportivo Confortável Academia,299,90,197,93,4.0,(4)
DIX,Tênis Masculino Academia Esportivo Confortável Corrida Leve,78,,7,,,
,Tênis Esportivo Masculino Para Academia Corrida Original,79,,7,,5.0,(8)
,Tênis De Academia Corrida Masculino Esportivo Leve Macio,78,90,55,23,5.0,(3)
,Tênis Masculino Sapatenis Moderno Confortável + Carteira,,,,,,
,Tenis Urbano Academia Caminhada Uso Diario,73,99,7,19,4.4,(76)
FILA,Fila Float Maxxi 2 Masculino Adultos,699,99,524,99,4.8,(13)
ULTRABONE,Kit 2 Tenis Ultrabone Black Para Caminhada Crossfit Macio,199,90,129,93,,
ULTRABONE,Kit 3 Tenis Ultrabone Black Coleção Completa Muito Leve,249,90,179,92,5.0,(3)
FILA,Tênis Fila Progress Lite Corrida Academia Caminhada,329,90,263,92,4.3,(6)
,Tenis Ortopedico Masculino Corrida Caminhada Tamanho Grande,139,35,132,38,4.7,(150)
FILA,Tênis Fila Virtuous Unissex Esporte Caminhada Original,289,99,197,60,4.8,(14)
OLYMPIKUS,Tênis Masculino Olympikus Proof 3 Tamanho Grande Dia A Dia,199,99,189,99,4.5,(24)
MIZUNO,Tenis Masculino Mizuno Creation 20 Conforto Tamanho 44 45,399,90,139,96,3.3,(3)
,Tênis Masculino Caminhada Rdw Impact Force Rd101 Original,83,02,8,07,4.7,(10)
MIZUNO,Tênis Masculino Wave Zest 2 Mizuno,449,99,322,99,4.7,(260)
MIZUNO,Tênis Masculino Mizuno Academia Corrida Treino Leve Barato,333,33,129,99,,
MIZUNO,Tênis De Corrida Masculino E Feminino Hawk 5 Mizuno *oferta*,325,45,197,46,4.7,(721)
FILA,Tenis Fila Recovery Masculino Running Trainning Corrida,350,,308,,4.6,(8)
,Kit 2 Pares Tênis Lindos Walk Academia Super,119,90,113,90,4.5,(4)
POLO BLU,Sapatenis Masculino Kit Tenis Relogio Com Meia Polo,88,02,8,56,4.7,(104)
,Tênis Masculino Academia Leve Confortável Original Runner Ft,99,90,69,93,4.4,(8)
OLDSEN,Kit 2 Tenis Masculino Casual Esportivo Confortável Academia,199,90,19,43,,
,Tênis Academia Corrida Masculino Macio Leve Confort Relógio,78,90,26,30,5.0,(5)
MIZUNO,Tênis Masculino Wave Creation Treino Macio Original Promoção,426,80,127,95,3.3,(3)
OLYMPIKUS,Tênis P/ Corrida Olymp1kus Flash Caminhada Confortável,129,90,32,48,,
NEW BALANCE,Tênis Nb Fuelcell Supercomp Trainer V3 C/placa De Carbono Ms,1.499,,1.349,,,
FILA,Tênis Fila Racer T2 Corrida Maratona Promoçao,459,90,280,53,5.0,(1)
,Tênis Luxo Lv Skate Couro Lançamento 3045 Masculino Feminino,264,90,33,11,,
,Tenis Esportivo Masculino Cores Caminhada Academia Corrida,78,10,74,20,,
,Tenis Masculino Couro Okley Stratus Conforto Resistente,259,90,32,49,,
,Tenis Masculino Estilo Desempenho Corrida Ciclismo Leve Ll,86,92,28,97,,
MIZUNO,Tênis Masculino Mizuno Wave Creation 20 Oferta Corrida,399,90,139,96,,
OLYMPIKUS,Tênis Masculino Olympikus Esportivo Casual Academia Corrida,199,90,119,94,,
,Tenis Masculino Couro Okley Halftrack Conforto Resistente,239,90,34,27,,
NEW BALANCE,Tênis Masculino New Balance 247 Couro Academia Caminhada,399,90,119,96,3.4,(5)
MIZUNO,Mizuno Wave Vitality 4 Masculino Adultos,229,99,32,86,4.7,(311)
MIZUNO,Tênis Masculino Creation Molas Corrida Lançamento Oferta,426,80,127,95,,
HOKA,Tênis Esportivo De Corrida Hoka Clifton 9 Masculino Original,1.299,,1.039,,,
ASICS,Tênis Asics Revelation Original Couro Leve Treino Promoção,99,90,9,71,4.1,(151)
VANS,Tênis Vans Ultrarange Vr3 Neo True White Confortavel,499,90,214,95,,
HOKA,Tênis Hoka Esportivo De Corrida Rincon 3 Masculino Original,999,99,799,99,,
,Tenis Casual Knu Skool Black White Preto E Branco Lancamento,267,90,150,02,,
PUMA,Tênis Puma Academia Promoção Lançamento Macio Treino Novo,333,33,99,99,4.0,(2)
,Tênis Para Corrida Olimpikus Veloz Caminhada Crossfit,99,90,33,30,4.1,(17)
,Kit Tenis Infantil Masculino Homem Aranha + Camisa + Chinelo,78,80,26,27,4.6,(30)
OLYMPIKUS,Promoção Tenis Olimpikus Jump Dança Confortável Suave Novo,130,50,97,50,5.0,(1)
,Tenis Masculino Atividade Fisica Treino Solado Borracha Ll,80,95,26,98,,
MIZUNO,Tênis Mizuno Wave Prophecy 13 Preto - Azul Ori,989,55,939,96,,
,Tênis Masculino Feminino Academia Corrida Envio Imediato,78,80,59,10,5.0,(1)
SQUARE,Tênis Masculino Botinha Bota Basquete Academia Treino Sport,89,97,29,99,5.0,(2)
MIZUNO,Tênis Masculino Mizuno Jet Academia Confortavel Preto Branco,397,97,119,39,5.0,(1)
WAVE,Queima Estoque Wave Ls Flor De Lotus Premium Preto Off 24hr,479,90,167,96,3.7,(78)
RW,Tênis Ultrarange Rw Confortável Lindo Macio Do 34 Ao 43,114,90,38,30,4.9,(40)
MIZUNO,Tênis De Corrida Masculino E Feminino Hawk 5 Mizuno *oferta*,325,45,197,46,4.7,(721)
ASCENSION,Tenis Ortopedico Masculino Corrida Caminhada Treino Academia,149,90,109,42,4.6,(34)
,Tênis Masculino Moda Fitness Caminhada Leve Barato Promoção,79,99,26,66,4.4,(157)
,Kit 3 Tênis Masculino Esportivo Academia Caminhada Corrida,239,90,179,92,,
,Bota Couro Legitimo Okley Halftrack Low Resistente Promoção,229,90,32,84,,
,Tênis Masculino Tn Air Unissex Importado Estilo Neymar Vm!!,127,,32,,,
,Tenis Masculino Academia Caminhada Corrida Confortavel Ll,80,90,26,97,,
VANS,Tênis V-ans Old Sk.ool Classico Premium Envio Full Promoção,342,86,112,97,,
,Kit Tenis Esportivo Leve + Fone De Ouvido + Relogio Digital,119,90,104,31,,
STARFLEX,Tênis Com Amortecedor Masculino Corrida Academia Flex Molas,154,99,131,74,4.6,(172)
UNDER ARMOUR,Under Armour Pacer Masculino Adultos,449,99,226,89,4.7,(1465)
PLAZA,Kit 2 Pares Tênis Casual Esportivo Masculino Relogio Digital,149,90,14,57,4.3,(222)
MIZUNO,Tênis De Corrida Masculino Mizuno Wave Stratos 2 Esportivo,799,99,639,99,,
,Tênis Sapatênis Masculino Kit Chinelo Carteira Relógio,59,90,56,90,,
SAYMON,Tênis Masculino Fast Run 3.0 Esportivo Academia Lev Adulto,93,10,69,83,4.4,(19)
PROSPECT,Tênis De Academia Caminhada Corrida Masculino Promoção,64,90,52,56,,
,Kit 2 Tênis Masculino Ferrari New Scuderia Confort Qualidade,299,99,176,99,4.3,(172)
STYLL BABY,Tênis Mizun Styll Wave Creation 20 Masculino Tamanho 38 A 45,99,90,33,30,4.4,(29)
,"Tenis Olympikus Proof 3 Masculino Numero 45,46,47,48",209,90,199,40,4.8,(670)
PUMA,Tênis Puma Suede Academia Homem Mulher Moda 34 A 43 Barato,333,33,99,99,,
FILA,Tenis Para Corrida Confortavel Mais Equilibrio Fila Original,349,99,227,49,4.5,(386)
WAVE,Tenis Wave Ls Flor De Lotus Premium Preto Off Pronta Entrega,369,90,166,45,4.2,(97)
NEW SPEED,Tênis Masculino New Speed R Sport Academia Crossfit,239,90,189,52,4.8,(4)
,Tênis Masculino Ferrari New Scuderia Confortável Qualidade,199,99,119,99,4.7,(24)
ASICS,Tênis Asics Revelation Barato Corrida Macio,333,90,99,71,,
,Tênis Masculino Bmw Motorsport Casual Esportivo Promoção 3l,199,99,95,99,4.8,(11)
SQUARE,Tênis Masculino Botinha Bota Basquete Academia Treino Dia,99,99,33,33,5.0,(1)
,Tênis Okley Na Promoção Bravo 2.0 Resistente Confortável,93,09,31,03,4.0,(11)
NEW BALANCE,Tênis New Balance Original Promoção Barato Oferta Academia,333,33,99,99,,
STREET WALKER,Kit 3 Tênis Masculino Corrida Esportivo Caminhada Academia !,189,99,18,47,,
,Tênis Tn Plus Importado Estilo Neyamar Messi Laçamento,126,99,31,75,,
,Tenis Masculino Academia Caminhada Corrida Trilha Moderno Ll,79,91,26,64,,
UNDER ARMOUR,Tênis Masculino Ch. Wing Se  Under Armour Novo,329,99,216,59,4.7,(358)
MIZUNO,Tênis Masculino Mizuno Wave Creation 20 Branco Confortavel,426,80,127,95,4.0,(1)
ASICS,Tênis Asics Gel Revelation Academia Promoção Lançamento Leve,99,99,9,72,4.3,(31)
WEST,Tênis Kit 2 Pares Mizwest 20 Promoção Masculino Garantia !!1,159,70,15,52,4.1,(539)
,Tênis Sapatênis Masculino Casual Confortável Barato Promoção,44,90,42,65,,
,Tênis Masculino Esportivo Academia Corrida Caminhada,109,90,59,34,,
,Tênis O2x Esportivo,89,90,29,97,,
,Kit 2 Tênis Masculino Academia Corrida Caminhada Esportivo,149,90,115,42,,
MIZUNO,Tênis De Corrida Masculino Mizuno Cool Ride 2 Esportivo,379,99,303,99,,
VANS,Tênis Vans Knu Skool White True Navy,269,90,161,94,,
ASICS,Tênis Asics Gel Revelation Academia Corrida Treino Leve Full,333,33,99,99,,
LORENZZO LOPEZ,Kit 3 Tênis Masculino Caminhada Crossfit Academia Oferta,189,90,165,21,,
LORENZZO LOPEZ,Kit 3 Tênis Masculino Academia Corrida Esporte Macio Oferta,201,90,173,63,,
ABUZZE,Tênis Masculino De Corrida E Treino I Free-run Promoçao,119,,11,,,
,Tênis Para Corrida Olimpikus Veloz Caminhada Crossfit,99,90,94,90,4.0,(40)
SAYMON,Kit Tênis Masculino Academia Caminhada 3 Pares Yzy Combo Org,189,99,157,69,4.5,(48)
ASICS,Tênis Asics Gel Revelation Academia Promoção Lançamento Leve,333,33,99,99,,
ACTVITTA,Tênis Masculino Actvitta Nylon Esportivo Respirável 4901.207,189,90,121,60,5.0,(1)
NEW SPEED,Tênis New Speed R Esportivo Treino Corrida Lançamento,198,90,33,15,5.0,(6)
TTS,Tenis Masculino Treino Skate Sport Racer Corrida Sapato,78,99,26,33,,
,Melhor Tênis Masculino Para Sair E Estiloso Bonito Corrida,159,90,129,51,,
NEW SPEED,Tênis New Speed R Esportivo Lançamento,195,99,32,66,,
VANS,Tênis Vr3 Ultrarange Unissex Marshmallow,399,99,183,99,4.7,(3)
,Tenis Casual Knu Skool Black White Preto E Branco Lancamento,267,90,160,74,4.8,(55)
ASICS,Tênis Asics Gel Revelation Original Homem Mulher Barato Novo,333,33,99,99,,
,Tenis Esportivo Masculino Caminhada Treino Academia Conforto,109,,36,,4.6,(14)
,Tênis Esportivo It Shoes Amortecedor Gel Masculino,179,90,104,90,4.6,(1829)
,Tênis Cross Tryd 5400 Academia Caminhada Confortável Leve,99,99,68,99,4.5,(2266)
OLYMPIKUS,Tênis Masculino Corrida Olympikus Volta Eleva Pro Max,289,10,260,51,,
MIZUNO,Tênis Masculino Mizuno 13s Wave Treino Corrida,399,99,207,99,,
,Tenis Masculino Space Olimp Caminhada Corrida Barato Confort,89,,29,,,
VANS,Tênis Masculino Vans Old Skool Knu Skate Conforto,269,90,148,44,4.7,(52)
MIZUNO,Tênis De Corrida Mizuno Wave Stratos 2 Masculino 101075075,799,90,599,92,,
FILA,Tênis Fila Racer Comet Masculino Corrida - Caminhada,349,55,331,16,5.0,(1)
NIKE,Tênis Nike Revolution 7 Masculino,399,99,279,99,4.7,(252)
ASCENSION,Tênis Ortopédico Masculino Feminino Asc Original Calce Fácil,99,42,33,14,4.6,(243)
NEW BALANCE,Tênis New Balance Academia Couro Camurça Barato Envio Rápido,333,33,99,99,,
LORENZZO LOPEZ,Tênis Masculino Esportivo Flex Caminhada Academia Original,109,90,36,63,,
ABUZZE,Tênis De Corrida E Treino I Free-run Tech,119,90,11,65,,
LORENZZO LOPEZ,Kit 3 Tênis Masculino Academia Esportivo Leve Macio Promoção,201,90,175,65,,
AIR,Tênis Air Branco Unissex Couro Confortável Envio Rapido,99,10,89,66,5.0,(9)
ACTVITTA,Tênis Masculino Actvitta Nylon Esportivo Respirável 4901.200,189,90,121,60,5.0,(3)
PUMA,Tênis Puma Academia Promoção Lançamento Macio Treino Barato,333,33,99,99,,
NEW SPEED,Tênis New Speed Esporte Masculino 100% Original Caminhada,239,91,215,91,4.6,(27)
,Tenis Urbano Academia Caminhada Uso Diario,73,99,7,19,4.4,(76)
OLDSEN,Kit 3 Tenis Masculino Casual Esportivo Confortável Academia,299,90,197,93,4.0,(4)
VANS,Tênis Vr3 Ultrarange Unissex Marshmallow,499,67,164,93,3.8,(10)
,Kit 2 Tênis Masculino Ferrari Scuderia Caminhada Leve Oferta,299,99,173,99,4.2,(25)
NEW SPEED,Tênis Masculino New Speed Treino Corrida Academia Promoção,197,90,182,06,5.0,(1)
,Tênis Masculino Gel Revelation Corrida Academia Treino Macio,299,99,107,99,3.8,(78)
ULTRABONE,Tenis Ortopedico Masculino Corrida Caminhada Academia Treino,69,99,6,80,,
MIZUNO,Tênis De Corrida Unissex Mizuno Cool Ride,179,,36,,4.8,(77)
ABUZZE,Tênis Runtech O Melhor Para Suas Corridas E Treinos,169,90,33,98,,
,Mizuno Wave Creation 20 Masculino Adultos,,,,,5.0,(1)
AIR,Promoção Tenis Air Dn Tn Plus Maxx Amortecedor Bolha Corrida,349,90,174,95,5.0,(1)
STREET,Tênis Masculino Confortavel  Street Azul Leve Corrida Promo,89,,29,,,
,Melhor Tênis Masculino Para Sair E Estiloso Bonito Corrida,169,90,152,91,4.0,(1)
OLYMPIKUS,Tenis Olympikus Infantil E Adulto 34 Ao 43 Envio 24h -40%,104,99,10,21,,
AIR,Tênis V-max  Masculino Feminino Unissex Refletivo Premium,147,90,14,38,,
OLDSEN,Tenis Masculino Feminino Academia Esporte Caminhada Leve,55,90,5,43,4.6,(14)
STREET WALKER,Kit Sapato Masculino Couro Sola Alta Oversize E Relogio Novo,109,99,10,69,,
WAVE,Kit 3 Pares Tênis Masculino Para Academia Caminhada Wave 20,217,90,21,18,4.7,(10)
ASICS,Tênis Masculino Asics Revelation Original Academia caminhada,333,90,99,71,5.0,(2)
,Tênis Corrida Bolha Plus 3 Tn Muito Leve Novo Cr7 Mes,113,67,11,05,4.5,(26)
AIR,Tênis Air Branco Unissex Couro Confortável Envio Imediato,63,90,60,70,4.5,(69)
ASICS,Tênis Asics Masculino Gt-2000 13 Corrida Pisada Pronada,1.049,,104,,,
OLYMPIKUS,Tênis Masculino Olympikus Voa 2 Corrida Original,314,99,31,50,,
,Tenis Casual Masculino Estiloso Dia Dia Moda Conforto Homem,94,90,31,63,,
MIZUNO,Tênis Pro 8 Wave Confortável Refletivo Oferta Única,519,99,400,39,5.0,(1)
ASICS,Tênis Asics Gel Excite 10 Masculino Corrida - Caminhada,511,64,368,86,4.8,(38)
ASICS,Tênis Asics Superblast 2 Unissex Corrida Leve Confortável,889,90,88,99,,
PUMA,Tênis Feminino Puma Suede 34 A 43 Academia Corrida Macio,333,33,99,99,,
STREET WALKER,Tênis Masculino Academia Corrida Esportivo Leve Confortável,99,99,78,99,4.3,(27)
POLO JOY,Combo 2 Pares Tenis Masculino Polo Joy Sapatenis Casual,199,90,169,91,4.7,(1525)
NEW SPEED,Tênis New Speed R Esportivo Treino Corrida Lançamento,189,90,31,65,4.0,(1)
,Tenis Menino Infantil Ad Escolar Esportivo Merks ,62,90,59,75,4.6,(853)
,Kit 3 Pares Tênis Masculino Caminhada Academia Olympic Pro,239,90,199,11,5.0,(5)
,Tenis Mulher Homem Unissex Corrida Caminhada Leve Barato,57,90,55,35,4.5,(1298)
FILA,Tênis Fila Float Maxxi 2 Pro Masculino Verde Treino Corrida,729,90,70,76,4.0,(1)
,Tênis Meia Masculino E Feminino Sem Cadarço Confortável,79,90,7,77,4.7,(193)
ASICS,Tênis Asics Trabuco Leve Casual Moderno Envio Rapido,799,99,599,99,,
,Kit 3 Tênis Casual Sola Reta Macia Resistente Barato Oferta,96,90,9,42,3.3,(9)
